date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:29:10	20/20	---MCZ	404	error ('Not%20Found')	text/plain	date:Wed,%2012%20Nov%202025%2016:29:09%20GMT	https://teqd.zkey.cc/robots.txt		(from )
00:29:54	923706/923706	---MCZ	200	added ('OK')	text/html	etag:%22e183a-HVmyVBEetA/kWdas90ZVQIcvCA0%22	https://teqd.zkey.cc/	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/index.html	(from )
00:30:08	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:08%20GMT	http://teqd.zkey.cc/lib/swiper/swiper-bundle.min.css	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/lib/swiper/swiper-bundle.min.3.delayed	(from https://teqd.zkey.cc/)
00:30:08	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:08%20GMT	http://teqd.zkey.cc/js/ckeditor/ckeditor.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/js/ckeditor/ckeditor.js	(from https://teqd.zkey.cc/)
00:30:09	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:09%20GMT	http://teqd.zkey.cc/lib/layui/layui.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/lib/layui/layui.js	(from https://teqd.zkey.cc/)
00:30:10	15196/15196	---M--	200	added ('OK')	text/css	etag:%2267315954-3b5c%22	https://cdn.zkey.cc/esurvey/select2/css/select2.min.css	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/cdn.zkey.cc/esurvey/select2/css/select2.min.css	(from https://teqd.zkey.cc/)
00:30:10	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:10%20GMT	http://teqd.zkey.cc/js/jquery.min.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/js/jquery.min.js	(from https://teqd.zkey.cc/)
00:30:12	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:11%20GMT	http://teqd.zkey.cc/js/ajaxSign.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/js/ajaxSign.js	(from https://teqd.zkey.cc/)
00:30:15	6457/6457	---M--	200	added ('OK')	application/javascript	etag:%2267315947-1939%22	https://cdn.zkey.cc/esurvey/cxselect/jquery.cxselect.min.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/cdn.zkey.cc/esurvey/cxselect/jquery.cxselect.min.js	(from https://teqd.zkey.cc/)
00:30:15	2925/2925	---M--	200	added ('OK')	application/javascript	etag:%22673159e3-b6d%22	https://cdn.zkey.cc/esurvey/jquery-ui-datepicker/jquery-ui-datepicker.min.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/cdn.zkey.cc/esurvey/jquery-ui-datepicker/jquery-ui-datepicker.min.js	(from https://teqd.zkey.cc/)
00:30:18	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:18%20GMT	http://teqd.zkey.cc/js/jquery-ui-1.13.2/jquery-ui.min.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/js/jquery-ui-1.13.2/jquery-ui.min.b.delayed	(from https://teqd.zkey.cc/)
00:30:20	366464/366464	---MCZ	200	added ('OK')	application/javascript	etag:W/%22673159e7-59780%22	https://cdn.zkey.cc/esurvey/ace/ace.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/cdn.zkey.cc/esurvey/ace/ace.js	(from https://teqd.zkey.cc/)
00:30:23	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:23%20GMT	http://teqd.zkey.cc/lib/select2/zh-CN.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/lib/select2/zh-CN.d.delayed	(from https://teqd.zkey.cc/)
00:30:24	66606/66606	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267315954-1042e%22	https://cdn.zkey.cc/esurvey/select2/js/select2.min.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/cdn.zkey.cc/esurvey/select2/js/select2.min.js	(from https://teqd.zkey.cc/)
00:30:33	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:33%20GMT	http://teqd.zkey.cc/amap/maps	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/amap/maps	(from https://teqd.zkey.cc/)
00:30:33	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:33%20GMT	http://teqd.zkey.cc/globalConfig.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/globalConfig.js	(from https://teqd.zkey.cc/)
00:30:34	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:34%20GMT	http://teqd.zkey.cc/lib/swiper/swiper-bundle.min.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/lib/swiper/swiper-bundle.min.js	(from https://teqd.zkey.cc/)
00:30:35	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:35%20GMT	http://teqd.zkey.cc/font/svg-iconfont.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/font/svg-iconfont.js	(from https://teqd.zkey.cc/)
00:30:37	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:37%20GMT	http://teqd.zkey.cc/_nuxt/d8da5f3.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/d8da5f3.js	(from https://teqd.zkey.cc/)
00:30:37	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:37%20GMT	http://teqd.zkey.cc/_nuxt/9289844.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/9289844.js	(from https://teqd.zkey.cc/)
00:30:38	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:38%20GMT	http://teqd.zkey.cc/_nuxt/1dca499.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/1dca499.js	(from https://teqd.zkey.cc/)
00:30:39	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:39%20GMT	http://teqd.zkey.cc/_nuxt/a4239b4.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/a4239b4.js	(from https://teqd.zkey.cc/)
00:30:41	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:40%20GMT	http://teqd.zkey.cc/_nuxt/ff13cba.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/ff13cba.js	(from https://teqd.zkey.cc/)
00:30:42	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:41%20GMT	http://teqd.zkey.cc/_nuxt/22fe6bd.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/22fe6bd.js	(from https://teqd.zkey.cc/)
00:30:43	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:42%20GMT	http://teqd.zkey.cc/_nuxt/6519d6a.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/6519d6a.js	(from https://teqd.zkey.cc/)
00:30:43	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:43%20GMT	http://teqd.zkey.cc/_nuxt/07c2df9.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/07c2df9.js	(from https://teqd.zkey.cc/)
00:30:44	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:44%20GMT	http://teqd.zkey.cc/_nuxt/719b5ef.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/719b5ef.js	(from https://teqd.zkey.cc/)
00:30:46	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:46%20GMT	http://teqd.zkey.cc/_nuxt/f87d61e.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/f87d61e.js	(from https://teqd.zkey.cc/)
00:30:47	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:46%20GMT	http://teqd.zkey.cc/_nuxt/33961ec.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/33961ec.js	(from https://teqd.zkey.cc/)
00:30:49	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:48%20GMT	http://teqd.zkey.cc/_nuxt/676bc5c.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/676bc5c.js	(from https://teqd.zkey.cc/)
00:30:49	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:49%20GMT	http://teqd.zkey.cc/_nuxt/fbfe734.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/fbfe734.js	(from https://teqd.zkey.cc/)
00:30:50	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:50%20GMT	http://teqd.zkey.cc/_nuxt/7b3a9b0.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/7b3a9b0.js	(from https://teqd.zkey.cc/)
00:30:51	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:51%20GMT	http://teqd.zkey.cc/_nuxt/24dda03.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/24dda03.js	(from https://teqd.zkey.cc/)
00:30:52	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:52%20GMT	http://teqd.zkey.cc/_nuxt/4b96793.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/4b96793.js	(from https://teqd.zkey.cc/)
00:30:55	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:54%20GMT	http://teqd.zkey.cc/_nuxt/64157f8.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/64157f8.js	(from https://teqd.zkey.cc/)
00:30:55	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:55%20GMT	http://teqd.zkey.cc/_nuxt/67b7dad.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/67b7dad.js	(from https://teqd.zkey.cc/)
00:30:56	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:56%20GMT	http://teqd.zkey.cc/_nuxt/abee120.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/abee120.js	(from https://teqd.zkey.cc/)
00:30:57	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2012%20Nov%202025%2016:30:57%20GMT	http://teqd.zkey.cc/_nuxt/5c894fe.js	/Users/yesmola/Documents/2025%20Paper%20/Machine%20Learning/1118Revised/Mirror/output/teqd_mirror/teqd.zkey.cc/_nuxt/5c894fe.js	(from https://teqd.zkey.cc/)
