HTTrack3.49-2 launched on Thu, 13 Nov 2025 00:29:02 at https://teqd.zkey.cc/ +https://teqd.zkey.cc/* -https://teqd.zkey.cc/*/login* -https://teqd.zkey.cc/*/data/* -https://teqd.zkey.cc/*/api/* -https://teqd.zkey.cc/*/admin/* -https://teqd.zkey.cc/*/user/* -https://teqd.zkey.cc/*/download/* -https://teqd.zkey.cc/*/auth* -https://teqd.zkey.cc/*/session*
(httrack https://teqd.zkey.cc/ -O "/Users/yesmola/Documents/2025 Paper /Machine Learning/1118Revised/Mirror/output/teqd_mirror" -d -%c1 -c2 -%k -T30 -R3 -A51200 -%! -F "Mozilla/5.0 (Research Mirror Tool)" +https://teqd.zkey.cc/* -https://teqd.zkey.cc/*/login* -https://teqd.zkey.cc/*/data/* -https://teqd.zkey.cc/*/api/* -https://teqd.zkey.cc/*/admin/* -https://teqd.zkey.cc/*/user/* -https://teqd.zkey.cc/*/download/* -https://teqd.zkey.cc/*/auth* -https://teqd.zkey.cc/*/session* )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

00:29:02	Warning: 	* security warning: !!! BYPASSING SECURITY LIMITS - MONITOR THIS SESSION WITH EXTREME CARE !!!
00:29:48	Warning: 	Retry after error -2 (Receive Time Out) at link https://teqd.zkey.cc/ (from primary/primary)
00:29:51	Warning: 	Retry after error -5 (error:00000001:lib(0)::reason(1)) at link https://teqd.zkey.cc/ (from primary/primary)
00:35:19	Warning: 	Retry after error -5 (error:00000001:lib(0)::reason(1)) at link https://cdn.zkey.cc/esurvey/bootstrap-slider/bootstrap-slider.min.css (from https://teqd.zkey.cc/)
00:35:19	Warning: 	Retry after error -4 (No data (connection closed)) at link teqd.zkey.cc/js/jquery-ui-1.13.2/jquery-ui.min.css (from https://teqd.zkey.cc/)
00:35:25	Error: 	"Internal Server Error" (500) after 3 retries at link https://www.zkey.cc/robots.txt (from https://teqd.zkey.cc/)
00:39:50	Warning: 	Moved Permanently for teqd.zkey.cc/js/jquery-ui-1.13.2/jquery-ui.min.css
00:39:50	Warning: 	File has moved from teqd.zkey.cc/js/jquery-ui-1.13.2/jquery-ui.min.css to https://teqd.zkey.cc:443/js/jquery-ui-1.13.2/jquery-ui.min.css
00:39:50	Warning: 	Retry after error -5 (error:00000001:lib(0)::reason(1)) at link https://www.zkey.cc/css/swiper-3.4.2.min.css (from https://www.zkey.cc/)
00:39:53	Warning: 	Retry after error -4 (No data (connection closed)) at link https://www.zkey.cc/css/index1.css (from https://www.zkey.cc/)
00:40:15	Warning: 	Retry after error -5 (error:00000001:lib(0)::reason(1)) at link https://www.zkey.cc/css/homepage.css (from https://www.zkey.cc/)
